,individual_wikidata_id,individual_name,birthyear,meta_occupation,region_name
231,Q102162090,Ferdinand Hahn,1817.0,historian,Northwestern Europe | Western Europe | German world | Germany
232,Q102176,Theodor Uhlig,1822.0,musicologist,Northwestern Europe | Western Europe | German world | Germany
233,Q102176226,Franz Brandenberg,1609.0,theologian,Northwestern Europe | Western Europe | German world | Switzerland
234,Q102179363,Pietro Della Porta,1530.0,philosopher,Western Europe | Northern Italy | Italy | Southwestern Europe
235,Q102183646,Hans Peter Detlef Reichenbach,1795.0,zoologist,Northwestern Europe | Western Europe | German world | Germany
236,Q102183661,Helmold Glaedenstedt,1371.0,philosopher,Northwestern Europe | Western Europe | German world | Germany
237,Q102196733,Wilhelm Gustav Adolf Biermann,1841.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
238,Q102201437,Maximilian Henoch,1841.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
239,Q102223,Johannes Trygophorus,1497.0,theologian,Northwestern Europe | Western Europe | German world | Germany
240,Q102234,Balthasar Bebel,1632.0,theologian,Northwestern Europe | Western Europe | German world | Germany
241,Q102242993,Gustav Ferdinand Meyer,1834.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
242,Q1022476,Heinrich Andreas Pröhle,1797.0,theologian | theologian,Northwestern Europe | Western Europe | German world | Germany
243,Q102260628,Tomasz Klage,1598.0,philosopher | philosopher | mathematician | mathematician,Eastern Europe | Central Europe
244,Q102284676,Giovanni Proto Arca,1562.0,historian,Western Europe | Italy | Southwestern Europe | Southern Italy
245,Q102285,Trudpert Neugart,1742.0,historian,Northwestern Europe | Western Europe | German world | Austria
246,Q102288951,Marc Maurel,1826.0,economist,Northwestern Europe | Western Europe | Southern France | France
247,Q102291525,Antonio Chimenti,1802.0,chemist,Western Europe | Italy | Southwestern Europe | Southern Italy
248,Q102313169,Johann Adrian Schlegtendal,1702.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
249,Q102313205,Adolf Stephanus Rueb,1806.0,astronomer,Northwestern Europe | Western Europe | Low countries | Netherlands
250,Q102323,Snorri Sturluson,1179.0,historian,Northwestern Europe | Western Europe | Nordic countries | Iceland
251,Q102338,Johann Major,1533.0,theologian,Northwestern Europe | Western Europe | German world | Germany
252,Q102344821,Edelbert Nymburský,1700.0,theologian,Eastern Europe | Central Europe
253,Q102347923,Jean Rondeaux de Sétry,1720.0,botanist,Northwestern Europe | Western Europe | France | Northern France
254,Q102354149,Nicolas Louis Bourgeois,1710.0,historian,Northwestern Europe | Western Europe | France | Northern France
255,Q102355206,Max Otto Vorberg,1838.0,theologian,Northwestern Europe | Western Europe | German world | Germany
256,Q102359,Gerhard Wolter Molanus,1633.0,theologian,Northwestern Europe | Western Europe | German world | Germany
257,Q102363581,Gijsbert van Hennekeler,1825.0,physicist,Northwestern Europe | Western Europe | Low countries | Netherlands
258,Q102396,Samuel Friedrich Lauterbach,1662.0,theologian | theologian | historian | historian,Eastern Europe | Central Europe
259,Q10240,Dadabhai Naoroji,1825.0,economist,Indian world | Southern India
260,Q102400678,Paul Friedrich Wilhelm Schönemann,1846.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
261,Q102412875,August Amthor,1845.0,astronomer | astronomer | astronomer | mathematician | mathematician | mathematician,Northwestern Europe | Western Europe | German world | Germany
262,Q102417649,Friedrich Fehrs,1841.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
263,Q102432298,Robert Owen Jones,1837.0,geographer,British Islands | Northwestern Europe | United Kingdom | Western Europe
264,Q102435187,Arnold Meyer,1844.0,mathematician,Northwestern Europe | Western Europe | German world | Switzerland
265,Q102436440,Karl Wilhelm Eduard Kollatz,1820.0,theologian,Northwestern Europe | Western Europe | German world | Germany
266,Q102458,Kaspar Ursinus Velius,1493.0,historian,Northwestern Europe | Western Europe | German world | Austria
267,Q102478,Johann Friedrich König,1619.0,theologian,Northwestern Europe | Western Europe | German world | Germany
