,wikidata_id,name,year,cultural_score,occupation
22649,Q687932,Claude-François Ménestrier,"(1640, 1690)",0.10289732660949334,music theorist
22650,Q687932,Claude-François Ménestrier,"(1640, 1690)",0.10289732660949334,heraldist
22651,Q687932,Claude-François Ménestrier,"(1640, 1690)",0.10289732660949334,music historian
22652,Q96747839,Axel Eurenius,"(1860, 1910)",0.10013044345750317,mathematician
22653,Q154632,Niels Gade,"(1830, 1880)",0.12812257965052717,conductor
22654,Q154632,Niels Gade,"(1830, 1880)",0.12812257965052717,music pedagogue
22655,Q154632,Niels Gade,"(1830, 1880)",0.12812257965052717,classical composer
22656,Q154632,Niels Gade,"(1830, 1880)",0.12812257965052717,violinist
22657,Q154632,Niels Gade,"(1830, 1880)",0.12812257965052717,university teacher
22658,Q55122606,Martin Crugot,"(1740, 1790)",0.10022764171722076,mathematician
22659,Q55122606,Martin Crugot,"(1740, 1790)",0.10022764171722076,evangelical theologian
22660,Q1873046,Lucas Brunn,"(1580, 1630)",0.10012426229076722,mathematician
22661,Q12305324,Carl Mundt,"(1810, 1860)",0.10066656232660463,astronomer
22662,Q12305324,Carl Mundt,"(1810, 1860)",0.10066656232660463,mathematician
22663,Q12305324,Carl Mundt,"(1810, 1860)",0.10066656232660463,theologian
22664,Q5784592,Jonas Hallenberg,"(1760, 1810)",0.10082715566905971,scientist
