,individual_wikidata_id,individual_name,occupations_wikidata_id,occupations_name,occupations_category
112326,Q96319037,Friedrich Greuter [-Engel],Q1225716,ornithologist,science|writer
112329,Q55681524,Johann Jakob Bär,Q1231865,pedagogue,science|writer
112334,Q2467280,Ján Kalinčiak,Q1231865,pedagogue,science|writer
112356,Q721458,Alexander Henry Haliday,Q3055126,entomologist,science|writer
112360,Q18530257,John Chevallier,Q1781198,agronomist,science|writer
112368,Q123384,Gustav Höfken,Q188094,economist,science|writer
112372,Q4251634,Walter Bache,Q16145150,music pedagogue,artist|science|writer
112374,Q5961317,Axel Ljungman,Q350979,zoologist,science|writer
112378,Q21510954,Heber Drury,Q2374149,botanist,science|writer
112382,Q1644743,Ludwik Je̜drzej Gorzkowski,Q169470,physicist,science|writer
112397,Q42201893,James Morrison Bodine,Q10872101,anatomist,science|writer
112401,Q55909844,Franz Heinrich Rump,Q170790,mathematician,science|writer
112402,Q55909844,Franz Heinrich Rump,Q1231865,pedagogue,science|writer
112403,Q15449268,Ludwig Moser,Q169470,physicist,science|writer
112405,Q7184914,Philippe de Clermont,Q593644,chemist,science|writer
112408,Q97038,Julius Falkenstein,Q11900058,explorer,science|writer
112413,Q55845885,Johann Friedrich Raupach,Q170790,mathematician,science|writer
112447,Q898705,Juraj Fándly,Q3055126,entomologist,science|writer
112461,Q41210951,Ranieri Gerbi,Q169470,physicist,science|writer
112464,Q55072616,Franz Sickmann,Q3055126,entomologist,science|writer
112465,Q5799101,Carl Niclas Hellenius,Q2374149,botanist,science|writer
112466,Q12800198,Rihard Blagaj,Q2374149,botanist,science|writer
112485,Q3740174,Conrad Quensel,Q11063,astronomer,science|writer
112486,Q3740174,Conrad Quensel,Q170790,mathematician,science|writer
112490,Q55026852,Johann Hartmann Degener,Q3055126,entomologist,science|writer
112496,Q102853764,Johan Georg Gentele,Q593644,chemist,science|writer
112504,Q18945725,Peter Bartholin,Q11063,astronomer,science|writer
112515,Q1504643,George H. F. Ulrich,Q520549,geologist,science|writer
112518,Q5545102,George Taylor,Q3140857,horticulturist,science|writer
112521,Q19520100,Henry Augustus Purdie,Q1225716,ornithologist,science|writer
112557,Q2833622,Alexandre Du Mège,Q3621491,archaeologist,science|writer
112565,Q6256037,John Rut,Q11900058,explorer,science|writer
112566,Q7791753,Thomas Laycock,Q2055046,physiologist,science|writer
112571,Q95176332,Jiří Zach,Q3621491,archaeologist,science|writer
112573,Q75326,Ernst Johann Schmitz,Q350979,zoologist,science|writer
112574,Q75326,Ernst Johann Schmitz,Q1225716,ornithologist,science|writer
112575,Q75326,Ernst Johann Schmitz,Q3055126,entomologist,science|writer
112578,Q1791609,Domingos Jorge Velho,Q11900058,explorer,science|writer
112580,Q16403639,Sven Dimborg,Q170790,mathematician,science|writer
