,wikidata_id,meta_occupation
699,Q107619,chemist
700,Q107619,anatomist
701,Q107619,botanist
702,Q107629,physicist
703,Q107647132,botanist
704,Q107655,chemist
705,Q107660,physicist
706,Q107660,musicologist
707,Q107675,mathematician
708,Q10767938,historian
709,Q10767938,geologist
710,Q107707,astronomer
711,Q107707,physicist
712,Q10775438,anthropologist
713,Q10775764,paleontologist
714,Q10775764,geologist
715,Q107758,theologian
716,Q107791,botanist
717,Q107794,chemist
718,Q10779612,historian
719,Q1078398,botanist
720,Q1078631,zoologist
721,Q1078788,zoologist
722,Q1078788,geologist
723,Q1078800,logician
724,Q1078800,theologian
725,Q1078824,physicist
726,Q1078833,geologist
727,Q1078839,mathematician
728,Q1078941,theologian
729,Q1079307,economist
730,Q107938,anatomist
731,Q1079398,mathematician
732,Q1079435,archeologist
733,Q1079582,mathematician
734,Q1079600,economist
735,Q1079639,philosopher
736,Q1079639,musicologist
737,Q1079642,botanist
738,Q1079662,astronomer
739,Q1079722,chemist
740,Q1079722,botanist
741,Q1079887,economist
742,Q1079889,mathematician
743,Q107991,botanist
744,Q1079960,theologian
745,Q1079970,physicist
746,Q1080057,chemist
747,Q1080062,chemist
748,Q108015,mathematician
749,Q108017,botanist
750,Q1080220,mathematician
751,Q1080226,chemist
752,Q108026,chemist
753,Q1080310,botanist
754,Q108033,geologist
755,Q108038,geographer
756,Q108039345,sociologist
757,Q1080501,theologian
758,Q108061,geographer
759,Q1080664,theologian
760,Q108071,botanist
761,Q1080765,mathematician
762,Q1080765,theologian
763,Q1080798,mathematician
764,Q108080,philosopher
765,Q108080,theologian
766,Q108080,geographer
767,Q1080873,physicist
768,Q1080931,geologist
769,Q1080939,archeologist
770,Q108103034,geographer
771,Q108107,economist
772,Q108129009,archeologist
773,Q1081354,astronomer
774,Q1081354,mathematician
775,Q1081361,astronomer
776,Q1081531,botanist
777,Q10816489,archeologist
778,Q1081671,astronomer
779,Q1081671,mathematician
780,Q1081671,theologian
781,Q1081683,botanist
782,Q1081777,historian
783,Q1081777,linguist
784,Q108189,chemist
785,Q108189,zoologist
786,Q1082007,botanist
787,Q1082178,botanist
788,Q108222694,anthropologist
789,Q1082316,philosopher
790,Q1082316,linguist
791,Q1082494,mathematician
792,Q108276,mathematician
793,Q108278,musicologist
794,Q108301641,chemist
795,Q1083058,chemist
796,Q108354,chemist
797,Q108400,astronomer
798,Q1084042,astronomer
799,Q108409996,astronomer
800,Q1084155,astronomer
801,Q1084155,physicist
802,Q1084155,mathematician
803,Q1084158,physicist
804,Q10841874,theologian
805,Q108428685,botanist
806,Q10843179,mathematician
807,Q108441272,chemist
808,Q1084528,physicist
809,Q1084592,economist
810,Q1084785,geographer
811,Q1084798,physicist
812,Q1084826,physicist
813,Q1084826,mathematician
814,Q1084826,theologian
815,Q1084839,chemist
816,Q1084886,chemist
817,Q1084929,mathematician
818,Q108508,physicist
819,Q108508,chemist
820,Q108512,archeologist
821,Q108512,historian
822,Q108512,geographer
823,Q1085250,chemist
824,Q1085318,botanist
825,Q10853722,historian
826,Q10853762,archeologist
827,Q10853885,historian
828,Q1085393,astronomer
829,Q1085393,mathematician
830,Q1085393,theologian
831,Q10854035,historian
832,Q10854035,geographer
833,Q108541267,astronomer
834,Q108541267,mathematician
835,Q108541267,geographer
836,Q10854149,linguist
837,Q1085448,botanist
838,Q108545,anthropologist
839,Q108547,historian
840,Q108548,zoologist
841,Q108555,musicologist
842,Q1085601,astronomer
843,Q1085601,mathematician
844,Q1085640,astronomer
845,Q1085640,mathematician
846,Q10859124,mathematician
847,Q1085914,astronomer
848,Q1086041,geographer
849,Q108604695,astronomer
850,Q10860785,mathematician
851,Q10860797,musicologist
852,Q1086101,mathematician
853,Q10862658,zoologist
854,Q108628,archeologist
855,Q108628,historian
856,Q108633,historian
857,Q108653,musicologist
858,Q1086650,botanist
859,Q108675,chemist
860,Q108681,botanist
861,Q108682,chemist
862,Q108693,economist
863,Q1087036,zoologist
864,Q1087036,botanist
865,Q108704,economist
866,Q108714624,archeologist
867,Q108714624,paleontologist
868,Q108744793,geographer
869,Q10874488,astronomer
870,Q10874488,mathematician
871,Q108800350,botanist
872,Q108802,geologist
873,Q108804,musicologist
874,Q108814,economist
875,Q108815,anatomist
876,Q108829,economist
877,Q108836,anthropologist
878,Q108836,historian
879,Q10886564,mathematician
880,Q10886684,mathematician
881,Q1088737,astronomer
882,Q1088737,physicist
883,Q1088839,anthropologist
884,Q1089652,zoologist
885,Q1089652,botanist
886,Q1089729,musicologist
887,Q10897757,astronomer
888,Q10897757,mathematician
889,Q108985,zoologist
890,Q109011,astronomer
891,Q109011,mathematician
892,Q1090266,astronomer
893,Q1090266,mathematician
894,Q1090403,archeologist
895,Q1090403,linguist
896,Q10905903,mathematician
897,Q109090,astronomer
898,Q109090,philosopher
899,Q109090,mathematician
900,Q109091,mathematician
901,Q1091050,archeologist
902,Q1091050,anthropologist
903,Q10918606,mathematician
904,Q10918606,historian
905,Q10919641,mathematician
906,Q109244,historian
907,Q109244,theologian
908,Q109244,geographer
909,Q109245,theologian
910,Q109281,archeologist
911,Q109281,anthropologist
912,Q109281,historian
913,Q109281,theologian
914,Q109330,geologist
915,Q109340,geologist
916,Q109376451,geologist
917,Q109393,anatomist
918,Q1094178,mathematician
919,Q10944304,mathematician
920,Q109448860,botanist
921,Q10945451,mathematician
922,Q109460,economist
923,Q109462,botanist
924,Q1094656,botanist
925,Q109467,anatomist
926,Q1094674,geographer
927,Q109474,geologist
928,Q109486586,anthropologist
929,Q109487,archeologist
930,Q109487,historian
931,Q109487,linguist
932,Q109491,economist
933,Q1094914,archeologist
934,Q1094914,anthropologist
935,Q109531,mathematician
936,Q109536209,chemist
937,Q109553923,geographer
938,Q109560580,anthropologist
939,Q109621656,botanist
940,Q1096408,mathematician
941,Q109662,botanist
942,Q1096622,historian
943,Q1096622,geographer
944,Q1096785,geologist
945,Q1096785,historian
946,Q1096785,geographer
947,Q1096785,botanist
948,Q1096910,astronomer
949,Q1096910,mathematician
950,Q1097163,geologist
951,Q109730,astronomer
952,Q109730,mathematician
953,Q109802128,botanist
954,Q10981088,zoologist
955,Q1098151,botanist
956,Q10982525,zoologist
957,Q1098291,geographer
958,Q109855666,economist
959,Q10985758,chemist
960,Q10985758,mathematician
961,Q109875,musicologist
962,Q1098793,archeologist
963,Q1098793,historian
964,Q10988842,botanist
965,Q1099769,archeologist
966,Q1099769,historian
967,Q1099880,paleontologist
968,Q1099880,botanist
969,Q1100178,geographer
970,Q110028,botanist
971,Q11004064,paleontologist
972,Q1100411,economist
973,Q110059,mathematician
974,Q110063,astronomer
975,Q11007547,physicist
976,Q11007547,chemist
977,Q11007547,meteorologist
978,Q110075999,archeologist
979,Q110082832,linguist
980,Q110102,pharmacologist
981,Q110102,chemist
982,Q1101035,pharmacologist
983,Q1101141,archeologist
984,Q1101141,historian
985,Q1101141,theologian
986,Q1101232,botanist
987,Q1101562,botanist
988,Q110162102,archeologist
989,Q110162102,linguist
990,Q110174947,archeologist
991,Q1101774,historian
992,Q1101774,economist
993,Q110186,musicologist
994,Q110186,linguist
995,Q110190,geologist
996,Q110194,geologist
997,Q1102060,botanist
998,Q1102096,anatomist
999,Q110213,economist
1000,Q110221,physicist
1001,Q110221,mathematician
1002,Q1102236,botanist
1003,Q1102344,botanist
1004,Q110242,economist
1005,Q1102547,botanist
1006,Q11026031,anthropologist
1007,Q110261,zoologist
1008,Q110261,botanist
1009,Q110261716,chemist
1010,Q110277747,archeologist
1011,Q110291866,zoologist
1012,Q110294,musicologist
1013,Q110305689,anthropologist
1014,Q110305689,historian
1015,Q11031,sociologist
1016,Q11031,philosopher
1017,Q11031,mathematician
1018,Q11031,economist
1019,Q110313,archeologist
1020,Q110313,theologian
1021,Q110381,linguist
1022,Q110386,archeologist
1023,Q110386,historian
1024,Q110386,linguist
1025,Q11042295,historian
1026,Q11042295,geographer
1027,Q110432254,archeologist
1028,Q110432254,historian
1029,Q11043371,astronomer
1030,Q11043371,mathematician
1031,Q1104400,geographer
1032,Q110475,anatomist
1033,Q1104755,zoologist
1034,Q1105029,economist
1035,Q11053630,botanist
1036,Q11054345,botanist
1037,Q110544237,geographer
1038,Q110553,astronomer
